"id","bond_code","event_date","event_type","W5","W6","W1","W2","W8","W7a","W7b","W3","W9","W4a","W4b"
"130","113546.SH","2022-8-9","NO","0","1","-0.0496019572019577","3.403922","3.2060","0","1.2592","0","0.35518","1","21"
"131","113573.SH","2022-8-9","NO","0","0","-0.0802411288022995","2.046798","3.6879","0","1.1876","0","0.37313","1","21"
"132","113605.SH","2022-8-9","NO","0","1","-0.04023941978812218","1.096474","4.2026","0","1.1314","0","0.18854","0","23"
"133","123136.SZ","2022-8-9","NO","0","1","-0.1716982126235962","7.326489","5.4511","0","1.9020","0","0.00862","1","22"
"134","110045.SH","2022-8-10","NO","1","0","-0.10531609505414963","1.835104","1.9247","0","1.0913","0","0.00308","0","24"
"135","118007.SH","2022-8-10","NO","0","0","-0.11521918326616287","3.908063","5.6153","0","1.3972","1","0.87500","1","21"
"136","113578.SH","2022-8-12","NO","0","0","0.13900908827781677","1.028239","3.6879","0","1.0605","0","0.04982","1","22"
"137","110082.SH","2022-8-15","NO","0","1","-0.03463498502969742","3.040879","5.2019","0","1.2230","0","0.01149","0","23"
"138","111005.SH","2022-8-15","NO","0","0","-0.13149313628673553","2.895345","5.8563","0","1.2815","0","0.33333","1","22"
"139","113597.SH","2022-8-15","NO","0","0","-0.04955507814884186","2.782565","3.9562","0","1.2588","0","0.06918","1","22"
"140","128071.SZ","2022-8-15","NO","0","0","-0.0666833445429802","1.304732","3.0034","0","1.1869","0","0.05690","0","23"
"141","128142.SZ","2022-8-15","NO","0","1","-0.021536121144890785","0.482979","4.3422","0","1.1378","0","0.04775","0","23"
"142","123128.SZ","2022-8-16","NO","0","1","0.3171890377998352","1.127315","5.2101","0","1.0795","0","0.61236","0","23"
"143","128108.SZ","2022-8-16","NO","0","1","0.013159570284187794","2.212512","3.7810","0","1.0370","0","0.00960","0","23"
"144","113054.SH","2022-8-17","NO","0","1","0.4597550332546234","1.533886","5.5250","0","1.1303","1","0.46875","0","24"
"145","113576.SH","2022-8-17","NO","0","0","0.12363279610872269","1.909670","3.6468","0","1.1640","0","0.04529","1","16"
"146","118004.SH","2022-8-17","NO","0","1","-0.011263232678174973","2.825908","5.3826","0","1.1706","0","0.52308","1","22"
"147","123039.SZ","2022-8-17","NO","1","0","-0.018015887588262558","1.510291","3.3593","0","1.2440","0","0.03074","1","21"
"148","128033.SZ","2022-8-17","NO","1","0","-0.09010130912065506","5.803567","1.3607","0","1.2329","0","0.34060","0","23"
"149","113574.SH","2022-8-18","NO","0","0","-0.11862882971763611","1.790932","3.6167","0","1.2431","0","0.15206","1","21"
"150","113601.SH","2022-8-18","NO","0","0","0.10936079174280167","1.648207","4.0082","0","1.1500","0","0.22678","1","22"
"151","113527.SH","2022-8-19","NO","1","0","0.21744951605796814","0.843853","2.4339","0","1.2266","0","0.43499","0","23"
"152","113584.SH","2022-8-19","NO","0","0","-0.00612759729847312","0.663356","3.7947","0","1.0564","0","0.01536","0","23"
"153","113589.SH","2022-8-19","NO","0","0","-0.08216913044452667","4.183015","3.8467","0","1.0002","0","0.08679","1","22"
"154","113596.SH","2022-8-19","NO","0","0","0.1749855875968933","1.803636","3.9398","1","0.9661","0","0.03942","1","19"
"155","113609.SH","2022-8-19","NO","0","0","0.22074486315250397","8.741665","4.2656","0","1.1654","0","0.24561","1","22"
"156","123119.SZ","2022-8-19","PROPOSAL","1","0","-0.2145206332206726","2.803786","4.9035","0","1.1690","0","0.04819","0","23"
"157","123124.SZ","2022-8-19","NO","0","0","-0.028818078339099884","2.176852","4.9911","0","1.2403","0","0.21239","1","21"
"158","127053.SZ","2022-8-19","NO","0","1","-0.017101341858506203","1.579036","5.4319","0","1.2480","0","0.78378","1","22"
"159","123126.SZ","2022-8-22","NO","0","1","-0.027974924072623253","2.518055","5.0513","0","1.1933","0","0.41463","1","21"
"160","128063.SZ","2022-8-22","NO","0","1","0.08975309878587723","1.877742","2.6146","0","1.2231","0","0.28660","1","22"
"161","113595.SH","2022-8-23","PROPOSAL","0","0","2.2115790843963623","0.845790","3.9097","0","1.0666","0","0.61042","1","12"
"162","123054.SZ","2022-8-23","NO","0","0","0.14637760818004608","1.927862","3.7974","0","1.3880","1","0.08511","1","22"
"163","128015.SZ","2022-8-23","PROPOSAL","1","0","-0.020848296582698822","2.259842","0.7912","0","1.1549","0","0.26423","1","20"
"164","128053.SZ","2022-8-23","NO","0","0","-0.1004754975438118","2.185904","2.4805","0","1.3770","0","0.02738","0","23"
"165","128069.SZ","2022-8-23","NO","0","0","-0.08198865503072739","4.170767","2.8364","0","1.2202","0","0.28079","1","22"
"166","110081.SH","2022-8-24","NO","0","1","-0.05952181667089462","1.283141","4.9254","0","1.2301","0","0.20332","0","24"
"167","113652.SH","2022-8-24","NO","0","0","0.09588076174259186","1.612004","5.9110","0","1.3202","0","0.20000","0","23"
"168","127022.SZ","2022-8-24","NO","0","0","-0.012254960834980011","0.775449","4.1451","0","1.2280","0","0.12821","0","24"
"169","113566.SH","2022-8-25","NO","0","0","0.058696895837783813","1.753043","3.5127","0","1.2700","0","0.58763","1","21"
"170","113646.SH","2022-8-25","NO","0","0","-0.16133596003055573","2.762613","5.6372","0","2.0801","0","0.85714","1","22"
"171","123093.SZ","2022-8-25","NO","0","1","-0.08571065217256546","2.983083","4.4025","0","1.2570","0","0.05978","1","21"
"172","113058.SH","2022-8-26","PROPOSAL","0","1","-0.09659405797719955","1.200190","5.5934","0","1.1336","0","0.02469","0","23"
"173","113575.SH","2022-8-26","NO","0","0","0.3502811789512634","0.472757","3.6194","0","1.4292","0","0.06584","0","23"
"174","113610.SH","2022-8-26","NO","0","0","-0.05020124092698097","2.756090","4.2656","0","1.1477","0","0.03457","1","22"
"175","113633.SH","2022-8-26","NO","0","0","-0.06970974057912827","1.950019","5.2621","0","1.1511","0","0.03822","0","23"
"176","113627.SH","2022-8-29","NO","0","1","-0.06648622453212738","1.783703","4.8761","0","1.1195","0","0.06299","0","23"
"177","127051.SZ","2022-8-29","NO","1","1","-0.061430975794792175","5.543098","5.2183","0","1.1980","0","0.48795","1","22"
"178","128078.SZ","2022-8-29","NO","0","1","-0.038602132350206375","1.155620","3.1458","0","1.2890","1","0.05449","0","23"
"179","113644.SH","2022-8-30","NO","0","0","-0.057552505284547806","1.442175","5.6263","0","1.1895","0","0.06757","1","22"
"180","123136.SZ","2022-8-30","NO","0","1","-0.1716982126235962","7.326489","5.3936","0","1.3810","0","0.09924","1","22"
"181","113594.SH","2022-8-31","NO","1","0","0.10830678045749664","9.410898","3.8877","0","1.2190","0","0.15909","1","21"
"182","113606.SH","2022-8-31","NO","0","0","-0.0024678229819983244","2.381811","4.1643","0","1.1384","0","0.00930","1","22"
"183","113059.SH","2022-9-1","PROPOSAL","0","1","-0.04366011172533035","1.432479","5.7166","0","1.2934","0","0.94545","0","23"
"184","113604.SH","2022-9-1","NO","0","1","0.314395546913147","3.351077","4.1150","0","1.0997","0","0.35484","1","22"
"185","113616.SH","2022-9-1","NO","0","0","0.02272268384695053","2.038325","4.3231","0","1.1912","0","0.00258","0","24"
"186","127017.SZ","2022-9-1","NO","0","1","-0.09373508393764496","1.678654","3.7536","0","1.1908","1","0.01141","0","24"
"187","127026.SZ","2022-9-2","NO","0","0","-0.10640089213848114","2.135972","4.2656","0","1.1883","1","0.33503","0","23"
"188","110064.SH","2022-9-7","NO","0","0","-0.0434623621404171","1.062918","3.2854","0","1.1753","1","0.61442","0","24"
"189","113049.SH","2022-9-7","NO","0","0","-0.2562144100666046","1.262825","4.7556","0","1.2211","0","0.20213","0","26"
"190","113638.SH","2022-9-7","NO","0","1","-0.041941843926906586","1.538529","5.3087","0","1.1601","0","0.16779","0","23"
"191","127056.SZ","2022-9-7","NO","0","1","-0.07271960377693176","0.921555","5.4675","0","1.1710","1","0.40625","0","26"
"192","127024.SZ","2022-9-8","NO","0","0","-0.057039957493543625","1.611470","4.1561","0","1.0726","0","0.10047","0","24"
"193","113608.SH","2022-9-9","NO","0","0","-0.016508745029568672","3.244724","4.1670","0","1.1342","0","0.01852","1","21"
"194","123155.SZ","2022-9-13","NO","0","0","-0.14003758132457733","1.802166","5.9138","0","1.2075","0","1.00000","1","21"
"195","128131.SZ","2022-9-13","NO","0","1","-0.08542746305465698","1.686551","3.9836","0","1.1396","0","0.20594","0","23"
"196","127062.SZ","2022-9-14","NO","0","1","-0.09376192837953568","1.854884","5.6016","0","1.2280","0","0.70513","1","22"
"197","118000.SH","2022-9-15","NO","0","0","-0.005463022273033857","1.185861","4.4408","0","1.2528","0","0.01370","1","22"
"198","118005.SH","2022-9-15","NO","0","1","-0.06997331976890564","3.962292","5.3662","0","1.3170","0","0.16667","1","22"
"199","118007.SH","2022-9-15","NO","0","1","-0.09787386655807495","5.387078","5.5168","0","1.2917","1","0.39175","1","21"
"200","118015.SH","2022-9-15","NO","0","0","-0.1866319477558136","3.696612","5.8480","0","1.2728","0","0.06250","1","21"
"201","128014.SZ","2022-9-15","NO","1","0","-0.06237023323774338","3.024767","0.5859","0","1.2480","0","0.70000","1","22"
"202","123072.SZ","2022-9-16","NO","0","0","0.013027380220592022","1.621100","4.0958","0","1.2930","0","0.19599","1","21"
"203","128056.SZ","2022-9-19","NO","0","0","0.0903879851102829","0.739749","2.4449","0","1.3495","0","0.69658","1","21"
"204","127004.SZ","2022-9-20","NO","0","0","0.040226295590400696","0.896102","0.6982","0","1.8380","0","0.65092","1","22"
"205","118010.SH","2022-9-23","NO","0","0","-0.11021990329027176","3.083614","5.7632","0","1.1889","0","0.02941","1","21"
"206","123115.SZ","2022-9-23","NO","0","1","-0.04441828653216362","3.691419","4.7064","0","1.1834","0","0.03333","1","22"
"207","113650.SH","2022-9-26","NO","0","0","-0.019451025873422623","1.839862","5.7632","0","1.1906","0","0.02632","1","22"
"208","123142.SZ","2022-9-26","NO","0","1","-0.13224206864833832","4.479088","5.4757","0","1.2000","0","0.47321","1","21"
"209","123145.SZ","2022-9-26","NO","0","1","-0.14121869206428528","2.656333","5.5661","0","1.2366","0","0.03409","0","23"
"210","111001.SH","2022-9-29","NO","0","1","0.11659829318523407","1.289895","5.1088","0","1.1658","1","0.00508","1","22"
"211","113619.SH","2022-9-29","NO","0","0","-0.10309170186519623","1.572543","4.3094","0","1.2012","1","0.16880","0","23"
"212","113546.SH","2022-9-30","NO","0","1","-0.051669757813215256","3.454457","3.0637","0","1.1896","0","0.18903","1","21"
"213","123154.SZ","2022-9-30","NO","0","0","-0.1557062417268753","1.621631","5.8480","0","1.2253","0","0.04167","1","22"
"214","113524.SH","2022-10-10","NO","0","1","-0.10057105869054794","2.097963","2.1793","0","1.1839","1","0.11185","1","22"
"215","118009.SH","2022-10-10","NO","0","0","-0.11645206063985825","3.178477","5.7057","0","1.2520","0","0.25000","1","21"
"216","123151.SZ","2022-10-10","NO","0","0","-1.4223740100860596","1.435351","5.7248","0","1.1366","0","0.06122","1","21"
"217","128023.SZ","2022-10-10","NO","0","0","-0.12259654700756073","1.701957","1.1499","0","1.2079","0","0.76128","0","23"
"218","128117.SZ","2022-10-10","NO","0","0","-0.0757903903722763","2.842266","3.7262","0","1.2199","0","0.54766","1","22"
"219","128143.SZ","2022-10-11","NO","0","1","-0.05472526326775551","2.438571","4.2437","0","1.2128","0","0.07426","1","21"
"220","113048.SH","2022-10-12","NO","1","0","1.4965236186981201","1.901154","4.5284","0","1.1751","0","0.00305","0","23"
"221","113505.SH","2022-10-12","NO","0","0","0.03516976535320282","1.299315","1.3990","0","1.1320","0","0.23021","0","23"
"222","113563.SH","2022-10-12","NO","0","0","-0.016455624252557755","1.479757","3.2635","0","1.1042","0","0.04088","0","23"
"223","113602.SH","2022-10-12","NO","1","0","-0.07804680615663528","1.397647","3.8658","0","1.1649","0","0.01222","0","23"
"224","118006.SH","2022-10-12","NO","0","1","-0.19761709868907928","10.146981","5.4237","0","1.1755","0","0.04237","1","21"
"225","128056.SZ","2022-10-12","NO","0","0","0.0903879851102829","0.739749","2.3819","0","1.2651","0","0.50175","1","21"
"226","113549.SH","2022-10-13","NO","0","1","-0.04379964619874954","1.456081","3.0910","0","1.1235","0","0.01318","0","23"
"227","118007.SH","2022-10-13","NO","0","1","-0.09787386655807495","5.387078","5.4401","0","1.1729","1","0.20536","1","21"
"228","118015.SH","2022-10-13","NO","0","0","-0.1866319477558136","3.696612","5.7714","0","1.1686","0","0.03226","1","21"
"229","123035.SZ","2022-10-13","NO","0","0","-0.05116691067814827","1.885156","3.0883","0","1.2006","0","0.00584","0","24"
"230","128133.SZ","2022-10-13","PROPOSAL","1","1","0.006794576067477465","2.275213","3.9425","0","1.1448","0","0.01057","0","23"
"231","110047.SH","2022-10-14","PROPOSAL","0","0","0.024700112640857697","0.726257","2.1054","0","1.1221","0","0.00431","0","24"
"232","127067.SZ","2022-10-14","NO","0","0","-0.012254960834980011","0.775449","5.7687","0","1.1201","0","0.03125","0","24"
"233","110063.SH","2022-10-18","PROPOSAL","0","0","0.024700112640857697","0.726257","3.1540","0","1.0988","0","0.01194","0","24"
"234","123141.SZ","2022-10-18","PROPOSAL","0","1","0.05107347294688225","1.416217","5.4073","0","1.1620","0","0.06452","1","20"
"235","127004.SZ","2022-10-18","NO","0","0","0.040226295590400696","0.896102","0.6215","0","1.7131","0","0.43523","1","22"
"236","113053.SH","2022-10-19","NO","0","1","-0.0923573300242424","1.467153","5.2129","0","1.2591","0","0.01887","0","26"
"237","113542.SH","2022-10-19","NO","0","0","-0.028777210041880608","1.231528","2.7844","0","1.1123","0","0.06983","0","23"
"238","110087.SH","2022-10-20","NO","0","0","-0.03620724380016327","1.555862","5.6756","0","1.1711","1","0.13793","0","24"
"239","113651.SH","2022-10-20","NO","0","0","-0.12190580368041992","1.818828","5.7495","0","1.2435","0","0.27027","0","23"
"240","123015.SZ","2022-10-20","NO","1","0","15.052651405334473","0.692093","1.8152","0","2.1819","0","0.05370","1","8"
"241","123138.SZ","2022-10-25","NO","0","1","-0.09382093697786331","1.975465","5.3525","0","1.2508","0","0.10714","1","21"
"242","128056.SZ","2022-10-26","NO","0","0","0.0903879851102829","0.739749","2.3436","0","1.3010","0","0.50288","1","21"
"243","128125.SZ","2022-10-26","NO","0","0","-0.08895748108625412","1.763587","3.7591","0","1.0903","0","0.07266","1","22"
"244","127034.SZ","2022-10-27","NO","0","0","0.07034477591514587","4.020788","4.5065","0","1.0632","0","0.07059","1","22"
"245","127050.SZ","2022-10-28","PROPOSAL","0","1","-0.1466837376356125","3.233317","5.0376","0","1.2579","0","0.03756","0","23"
"246","118017.SH","2022-10-31","NO","0","1","-0.06721677631139755","2.139219","5.7714","0","1.2419","0","0.36111","1","21"
"247","123004.SZ","2022-10-31","NO","1","0","1.2843527793884277","0.740724","1.1307","0","1.0845","1","0.01098","0","23"
"248","127055.SZ","2022-10-31","NO","0","1","-0.12201158702373505","2.330091","5.3114","0","1.1140","1","0.00704","1","22"
"249","128023.SZ","2022-10-31","NO","0","0","-0.13712893426418304","1.642150","1.0924","0","1.1485","0","0.77464","0","23"
"250","128143.SZ","2022-11-1","NO","0","1","-0.08219918608665466","2.397411","4.1862","0","1.1990","0","0.14797","1","21"
"251","113636.SH","2022-11-2","NO","0","1","-0.08250192552804947","1.075842","5.1116","0","1.2124","0","0.00508","1","22"
"252","123129.SZ","2022-11-2","NO","1","0","-0.15664125978946686","4.364115","5.0048","0","1.1238","1","0.05357","1","22"
"253","113033.SH","2022-11-4","NO","0","0","0.16453564167022705","0.521870","3.4059","0","1.0573","0","0.00489","0","23"
"254","127004.SZ","2022-11-8","NO","0","0","0.026602260768413544","0.912663","0.5640","0","1.7850","0","0.66837","1","22"
"255","128056.SZ","2022-11-9","NO","0","0","0.0838334932923317","0.776886","2.3053","0","1.2700","0","0.60068","1","21"
"256","113655.SH","2022-11-10","NO","0","1","-0.18082395195960999","1.338819","5.7358","0","1.2210","0","0.21951","0","23"
"257","127031.SZ","2022-11-11","NO","1","0","-0.09770195931196213","1.241936","4.3669","0","1.1804","0","0.03485","0","23"
"258","128138.SZ","2022-11-11","NO","0","0","0.11914072185754776","1.092859","4.0164","0","1.2050","0","0.30310","1","22"
"259","110082.SH","2022-11-15","NO","0","1","-0.08421697467565536","2.928616","4.9500","0","1.1797","0","0.07265","0","23"
"260","123142.SZ","2022-11-15","NO","0","1","-0.1138911172747612","4.565181","5.3388","0","1.1798","0","0.03497","1","21"
"261","113628.SH","2022-11-17","NO","0","0","-0.020564621314406395","1.655198","4.7639","0","1.1192","0","0.28623","1","20"
"262","123096.SZ","2022-11-21","NO","0","0","0.49512985348701477","1.752678","4.1807","0","1.0389","1","0.20384","1","20"
"263","123161.SZ","2022-11-21","NO","0","0","0.14388348162174225","1.159174","5.8891","0","1.2330","0","0.14286","0","23"
"264","128026.SZ","2022-11-21","NO","1","0","0.08606931567192078","3.360520","1.0595","0","1.1346","0","0.55461","1","22"
"265","113535.SH","2022-11-22","NO","0","0","0.013600765727460384","0.845883","1.4620","0","1.1531","0","0.12723","0","23"
"266","113658.SH","2022-11-22","NO","0","0","-0.08309286087751389","1.572727","4.8159","0","1.2550","0","0.29412","1","22"
"267","128056.SZ","2022-11-23","NO","0","0","0.0838334932923317","0.776886","2.2669","0","1.2650","0","0.58830","1","21"
"268","113641.SH","2022-11-25","NO","0","1","-0.009930996224284172","1.003244","5.2485","0","1.1664","0","0.14198","0","24"
"269","123128.SZ","2022-11-29","NO","0","0","0.1850203275680542","1.343914","4.9227","0","1.0329","0","0.28340","0","23"
"270","127004.SZ","2022-11-29","NO","0","0","0.026602260768413544","0.912663","0.5065","0","1.7630","0","0.63721","1","22"
"271","113573.SH","2022-11-30","NO","0","0","-0.0940818265080452","1.891774","3.3785","0","1.1448","0","0.41735","1","21"
"272","118026.SH","2022-11-30","NO","0","0","-0.09501521289348602","1.293285","5.9001","0","1.2056","0","0.80000","1","21"
"273","128014.SZ","2022-11-30","PROPOSAL","1","0","-0.06174648180603981","2.985598","0.3778","0","1.1600","0","0.42641","1","22"
"274","110045.SH","2022-12-1","NO","1","0","-0.11607225984334946","1.764076","1.6153","0","1.0906","0","0.08286","0","24"
"275","128039.SZ","2022-12-1","NO","1","0","-0.47018787264823914","8.530256","1.5195","0","1.1899","0","0.08675","1","21"
"276","118006.SH","2022-12-2","PROPOSAL","0","1","-0.1720118671655655","11.316366","5.2841","0","1.2215","0","0.05806","1","21"
"277","113639.SH","2022-12-5","NO","0","1","-0.046368442475795746","1.020085","5.1362","0","1.0830","0","0.34921","0","24"
"278","111006.SH","2022-12-6","PROPOSAL","0","1","-0.1405888944864273","2.022652","5.6810","0","1.2785","0","0.26087","1","22"
"279","113597.SH","2022-12-6","NO","0","0","-0.015569520182907581","2.102772","3.6468","0","1.1849","0","0.03623","1","22"
"280","128071.SZ","2022-12-6","NO","0","0","-0.07237421721220016","1.310152","2.6940","0","1.1330","0","0.07455","0","23"
"281","128142.SZ","2022-12-6","NO","0","0","-0.014117702841758728","0.483415","4.0329","0","1.1043","0","0.22788","0","23"
"282","111005.SH","2022-12-7","PROPOSAL","0","1","-0.12448353320360184","2.708234","5.5441","0","1.2196","0","0.52273","1","22"
"283","123038.SZ","2022-12-7","NO","0","0","-0.01981898956000805","1.822190","3.0500","0","1.3220","0","0.10678","1","21"
"284","128124.SZ","2022-12-7","NO","0","0","-0.1746608167886734","5.350927","3.6386","0","1.0293","0","0.22628","1","21"
"285","123160.SZ","2022-12-8","NO","0","0","-0.3517591953277588","2.260919","5.8070","0","1.2100","0","0.72414","1","20"
"286","123099.SZ","2022-12-9","PROPOSAL","0","1","0.24352335929870605","1.906475","4.1697","0","1.1233","0","0.07746","1","22"
"287","123124.SZ","2022-12-9","NO","0","0","-0.030812527984380722","2.081356","4.6845","0","1.1090","0","0.08667","1","21"
"288","127054.SZ","2022-12-9","NO","0","1","-0.09399061650037766","2.452044","5.1745","0","1.1476","0","0.57865","0","23"
"289","123161.SZ","2022-12-12","NO","0","0","0.14388348162174225","1.159174","5.8316","0","1.2180","0","0.06897","0","23"
"290","113596.SH","2022-12-13","NO","0","0","0.20149101316928864","1.634339","3.6222","1","0.9757","0","0.19355","1","19"
"291","110076.SH","2022-12-14","NO","0","1","-0.1651797741651535","1.673004","3.8850","0","1.1502","0","0.32460","0","23"
"292","123101.SZ","2022-12-14","NO","0","0","-0.07192005217075348","1.583681","4.2355","0","1.1458","0","0.42512","0","23"
"293","127033.SZ","2022-12-14","PROPOSAL","0","0","0.045174434781074524","1.874297","4.3368","0","1.1020","0","0.11905","0","23"
"294","110081.SH","2022-12-15","NO","0","0","-0.06622408330440521","1.151514","4.6160","0","1.1178","0","0.14873","0","24"
"295","113530.SH","2022-12-16","NO","0","0","-0.07491756230592728","1.613242","2.2779","0","1.1850","0","0.74324","0","23"
"296","127042.SZ","2022-12-16","NO","0","0","0.008454558439552784","1.349444","4.6461","0","1.1155","0","0.22039","0","23"
"297","127004.SZ","2022-12-20","NO","0","0","0.026602260768413544","0.912663","0.4490","0","1.6975","0","0.41480","1","22"
"298","113059.SH","2022-12-21","NO","1","1","-0.0376596562564373","1.265977","5.4127","0","1.1849","0","0.11719","0","23"
"299","118023.SH","2022-12-21","NO","0","0","0.06292523443698883","1.056326","5.8125","0","1.1562","0","0.11111","1","22"
"300","128062.SZ","2022-12-21","NO","1","0","0.7780653238296509","5.199094","2.2806","0","1.0685","0","0.64713","1","10"
"301","123153.SZ","2022-12-22","NO","0","1","-0.20246046781539917","1.616465","5.5797","0","1.1744","0","0.34884","1","21"
"302","123143.SZ","2022-12-23","NO","0","1","-0.16070467233657837","2.700452","5.2704","0","1.3034","0","0.25926","1","22"
"303","118007.SH","2022-12-27","NO","0","1","-0.09199433028697968","5.054574","5.2348","0","1.2172","1","0.20606","1","21"
"304","123165.SZ","2022-12-28","NO","0","0","-0.1142338365316391","1.604618","5.8316","0","1.1565","0","0.03571","1","22"
"305","123145.SZ","2022-12-29","PROPOSAL","0","1","-0.21646037697792053","2.296022","5.3087","0","1.1930","0","0.09934","0","23"
"306","128066.SZ","2022-12-29","NO","1","0","0.08583252876996994","2.548920","2.2998","0","1.1150","0","0.01587","1","22"
"307","113608.SH","2022-12-30","NO","0","0","0.020533718168735504","2.489585","3.8604","0","1.0561","0","0.00395","1","21"
"308","113653.SH","2022-12-30","PROPOSAL","0","1","-0.1916186511516571","1.481952","5.5770","0","1.1729","0","0.11111","1","22"
"309","123050.SZ","2022-12-30","NO","0","0","-0.1654426008462906","2.126079","3.2882","0","1.1500","0","0.02351","1","22"
"310","128131.SZ","2023-1-4","NO","0","1","-0.14220599830150604","1.700803","3.6742","0","1.0660","0","0.00549","0","23"
"311","128143.SZ","2023-1-4","NO","0","1","-0.08219918608665466","2.397411","4.0110","0","1.1859","0","0.10129","1","21"
"312","113623.SH","2023-1-5","NO","0","0","-0.022080589085817337","0.870649","4.2546","0","1.0976","0","0.36139","0","23"
"313","123142.SZ","2023-1-5","NO","0","1","-0.1138911172747612","4.565181","5.1992","0","1.0932","0","0.00559","1","21"
"314","118000.SH","2023-1-6","NO","0","0","-0.004015280399471521","1.124350","4.1314","0","1.0990","0","0.00455","1","22"
"315","123087.SZ","2023-1-6","NO","1","0","-0.12766775488853455","2.040454","3.9398","0","1.1421","0","0.02273","1","22"
"316","113532.SH","2023-1-9","NO","0","1","0.3747028708457947","1.492647","2.2286","0","1.0937","1","0.35929","0","23"
"317","113636.SH","2023-1-9","NO","0","1","-0.08250192552804947","1.075842","4.9254","0","1.1581","0","0.09016","1","22"
"318","123146.SZ","2023-1-9","NO","0","1","0.47147583961486816","1.684986","5.3224","0","1.1080","0","0.13245","1","22"
"319","123157.SZ","2023-1-10","NO","0","1","0.05647142976522446","2.446174","5.6372","0","1.1996","0","0.29577","1","22"
"320","118024.SH","2023-1-11","NO","0","0","-0.11845529824495316","0.935049","5.7851","0","1.1760","0","0.22857","0","23"
"321","127004.SZ","2023-1-11","NO","0","0","0.026602260768413544","0.912663","0.3888","0","1.6995","0","0.42529","1","22"
"322","113625.SH","2023-1-13","NO","0","1","-0.08872318267822266","1.472381","4.4079","0","1.1946","0","0.66398","1","22"
"323","110060.SH","2023-1-16","NO","1","1","0.09816338866949081","1.714460","2.7817","0","1.1352","1","0.00660","0","23"
"324","113650.SH","2023-1-16","NO","0","1","-0.023533038794994354","2.335392","5.4565","0","1.1509","0","0.09821","1","22"
"325","118015.SH","2023-1-16","NO","0","1","-0.17208153009414673","5.966013","5.5113","0","1.2187","0","0.83505","1","21"
"326","123172.SZ","2023-1-17","NO","0","0","-0.04740864038467407","0.956996","5.9110","0","1.1781","0","0.25000","1","22"
"327","127019.SZ","2023-1-18","NO","0","0","-0.007613291498273611","0.385593","3.4880","0","1.1472","0","0.70389","0","23"
"328","111001.SH","2023-1-20","NO","0","1","0.06941383332014084","1.438830","4.7995","0","1.1387","1","0.06985","1","22"
"329","113624.SH","2023-1-30","NO","0","0","0.021965831518173218","2.757633","4.2409","0","1.0770","0","0.03759","1","21"
"330","123004.SZ","2023-1-30","NO","1","0","1.2843527793884277","0.740724","0.8816","0","1.1000","1","0.01791","0","23"
"331","127062.SZ","2023-1-30","NO","0","1","-0.08947008848190308","1.953315","5.2238","0","1.1738","0","0.33333","1","22"
"332","127004.SZ","2023-2-8","NO","0","0","0.026602260768413544","0.912663","0.3121","0","1.7288","0","0.66586","1","22"
"333","128105.SZ","2023-2-8","NO","0","0","0.3673861026763916","0.951340","3.1650","0","1.0651","0","0.35801","1","22"
"334","113593.SH","2023-2-10","NO","0","0","-0.03760206699371338","2.968734","3.4387","0","1.1321","0","0.06965","1","21"
